Abemaciclib,Atomoxetine,0
Abemaciclib,Bortezomib,0
Abemaciclib,Clemastine,0
Abemaciclib,Clotrimazole,0
Abemaciclib,Cyclosporine,0
Dihydroergotamine,Abemaciclib,0
Diltiazem,Abemaciclib,0
Doxycycline,Abemaciclib,0
Erythromycin,Abemaciclib,0
Fluvoxamine,Abemaciclib,0
Isradipine,Abemaciclib,0
Lovastatin,Abemaciclib,0
Acetaminophen,Abiraterone,2
Amitriptyline,Abiraterone,2
Amphetamine,Abiraterone,2
Amsacrine,Abiraterone,2
Anagrelide,Abiraterone,2
Atomoxetine,Abiraterone,2
Benzatropine,Abiraterone,2
Betaxolol,Abiraterone,2
Bexarotene,Abiraterone,0
Bortezomib,Abiraterone,2
Bupivacaine,Abiraterone,2
Caffeine,Abiraterone,2
Carisoprodol,Abiraterone,0
Carmustine,Abiraterone,2
Celecoxib,Abiraterone,0
Cerivastatin,Abiraterone,2
Cevimeline,Abiraterone,2
Chloramphenicol,Abiraterone,0
Chlorpromazine,Abiraterone,2
Chlorzoxazone,Abiraterone,2
Citalopram,Abiraterone,2
Clemastine,Abiraterone,0
Abiraterone,Clotrimazole,0
Abiraterone,Clozapine,2
Abiraterone,Codeine,2
Abiraterone,Cyclosporine,0
Abiraterone,Dicoumarol,0
Abiraterone,Digoxin,18
Abiraterone,Dihydroergotamine,0
Abiraterone,Diltiazem,2
Abiraterone,Doxycycline,0
Abiraterone,Dronabinol,2
Abiraterone,Duloxetine,2
Abiraterone,Eletriptan,2
Abiraterone,Erythromycin,0
Abiraterone,Eszopiclone,2
Abiraterone,Fluoxetine,2
Abiraterone,Fluvoxamine,2
Abiraterone,Gefitinib,2
Abiraterone,Glimepiride,0
Abiraterone,Hydromorphone,2
Abiraterone,Imipramine,2
Abiraterone,Indomethacin,0
Abiraterone,Ipratropiumbromide,2
Abiraterone,Isradipine,0
Abiraterone,Lansoprazole,2
Abiraterone,Lidocaine,2
Abiraterone,Loratadine,2
Abiraterone,Lovastatin,0
Abiraterone,Menadione,2
Abiraterone,Meprobamate,0
Abiraterone,Methadone,2
Abiraterone,Methylphenidate,2
Abiraterone,Metoprolol,2
Abiraterone,Mexiletine,2
Abiraterone,Mirtazapine,2
Abiraterone,Montelukast,0
Abiraterone,Morphine,2
Abiraterone,Nabumetone,2
Acebutolol,Acetohexamide,10
Acebutolol,Alfuzosin,7
Acebutolol,Amlodipine,7
Acebutolol,Amphetamine,1
Acebutolol,Atomoxetine,32
Acebutolol,Bendroflumethiazide,7
Acebutolol,Betaxolol,7
Acebutolol,Bortezomib,1
Acebutolol,Brimonidine,25
Acebutolol,Bupivacaine,2
Acebutolol,Cabergoline,33
Acebutolol,Carbachol,1
Acebutolol,Celecoxib,9
Acebutolol,Cevimeline,1
Acebutolol,Chlorpromazine,7
Acebutolol,Clozapine,1
Acebutolol,Digoxin,13
Acebutolol,Dihydroergotamine,20
Acebutolol,Diltiazem,7
Acebutolol,Disopyramide,13
Acebutolol,Dronabinol,22
Acebutolol,Duloxetine,17
Acebutolol,Etomidate,20
Fluoxetine,Acebutolol,2
Glimepiride,Acebutolol,10
Imipramine,Acebutolol,1
Indomethacin,Acebutolol,9
Isradipine,Acebutolol,7
Lidocaine,Acebutolol,2
Masoprocol,Acebutolol,9
Mefloquine,Acebutolol,13
Methylergometrine,Acebutolol,33
Methylphenidate,Acebutolol,9
Metoprolol,Acebutolol,2
Midodrine,Acebutolol,13
Morphine,Acebutolol,1
Nabilone,Acebutolol,1
Nabumetone,Acebutolol,9
Alclometasone,Aceclofenac,1
Argatroban,Aceclofenac,11
