Abemaciclib,Amiodarone,1
Abemaciclib,Apalutamide,3
Abemaciclib,Aprepitant,2
Abemaciclib,Bosentan,3
Abemaciclib,Bosutinib,2
Abemaciclib,Carbamazepine,3
Abemaciclib,Ceritinib,1
Abemaciclib,Clarithromycin,1
Abemaciclib,Colchicine,2
Abemaciclib,Conivaptan,2
Abemaciclib,Crizotinib,0
Abemaciclib,Dabigatranetexilate,12
Dabrafenib,Abemaciclib,3
Dasatinib,Abemaciclib,2
Doxorubicin,Abemaciclib,2
Dronedarone,Abemaciclib,0
Eltrombopag,Abemaciclib,2
Enzalutamide,Abemaciclib,3
Everolimus,Abemaciclib,2
Fosphenytoin,Abemaciclib,3
Imatinib,Abemaciclib,0
Isavuconazole,Abemaciclib,2
Itraconazole,Abemaciclib,1
Ivacaftor,Abemaciclib,2
Ketoconazole,Abemaciclib,2
Lorpiprazole,Abemaciclib,2
Lumacaftor,Abemaciclib,3
Midostaurin,Abemaciclib,3
Mifepristone,Abemaciclib,2
Mitotane,Abemaciclib,3
Naloxegol,Abemaciclib,2
Nefazodone,Abemaciclib,1
Netupitant,Abemaciclib,2
Aceclofenac,Abiraterone,0
Acenocoumarol,Abiraterone,2
Acetylcholine,Abiraterone,2
Acetylsalicylicacid,Abiraterone,2
Adinazolam,Abiraterone,0
Agomelatine,Abiraterone,2
Ajmaline,Abiraterone,2
Albendazole,Abiraterone,2
Almotriptan,Abiraterone,2
Alogliptin,Abiraterone,2
Alosetron,Abiraterone,2
Alprenolol,Abiraterone,2
Ambrisentan,Abiraterone,0
Aminophylline,Abiraterone,2
Amiodarone,Abiraterone,2
Amodiaquine,Abiraterone,2
Amoxapine,Abiraterone,2
Antipyrine,Abiraterone,2
Apalutamide,Abiraterone,3
Apixaban,Abiraterone,2
Aprepitant,Abiraterone,2
Aprindine,Abiraterone,2
Arformoterol,Abiraterone,2
Aripiprazole,Abiraterone,2
Asenapine,Abiraterone,2
Astemizole,Abiraterone,2
Atorvastatin,Abiraterone,2
Axitinib,Abiraterone,2
Azelastine,Abiraterone,2
Bepridil,Abiraterone,2
Bisoprolol,Abiraterone,2
Bosentan,Abiraterone,2
Brexpiprazole,Abiraterone,2
Brigatinib,Abiraterone,2
Brivaracetam,Abiraterone,0
Bromazepam,Abiraterone,2
Brompheniramine,Abiraterone,2
Buprenorphine,Abiraterone,2
Bupropion,Abiraterone,2
Buspirone,Abiraterone,2
Cabazitaxel,Abiraterone,2
Cabozantinib,Abiraterone,0
Candesartancilexetil,Abiraterone,0
Cannabidiol,Abiraterone,0
Captopril,Abiraterone,2
Carbamazepine,Abiraterone,3
Carbinoxamine,Abiraterone,2
Cariprazine,Abiraterone,2
Carteolol,Abiraterone,2
Carvedilol,Abiraterone,2
Ceritinib,Abiraterone,2
Chloroquine,Abiraterone,2
Chlorphenamine,Abiraterone,2
Chlorpropamide,Abiraterone,0
Cilostazol,Abiraterone,2
Cinacalcet,Abiraterone,2
Cinnarizine,Abiraterone,2
Cisapride,Abiraterone,2
Clarithromycin,Abiraterone,0
Clenbuterol,Abiraterone,2
Clevidipine,Abiraterone,2
Clomipramine,Abiraterone,2
Clonidine,Abiraterone,2
Clopidogrel,Abiraterone,38
Abiraterone,Clotiazepam,0
Abiraterone,Conivaptan,2
Abiraterone,Crizotinib,0
